,Date,Time,Company Name,Current Feelings,Future Expectations,Need Now,City,Expect_recovery,Change_In_Life
189,24-04-2020,02:30,Saint-Sauveur,Protective for my loved ones,"Changing for the best our practices, professional and personal",How I can be everywhere and be at the top in all aspect of my life,Saint-Sauveur,More than a year,"Being more present for my family, planify more in advance and being a geeat motivator for my little ones"
190,24-04-2020,02:46,TD Bank,uncertain about the future,it doesn't look too positive,job security,Toronto,More than a year,take more vacations
191,24-04-2020,03:48,North York,Anxiety but content given one has to deal with it,future will be different than the past,safety and well being of my family,Mississauga,3 months,will be more cautious in the approach
192,24-04-2020,03:56,financial,bored,ummm,my parents,San Francisco,3 months,none
193,24-04-2020,04:07,New Delhi,a little depressed,it will take some time for things to get normal,"job, money",New Delhi,6 months,The way we work
194,24-04-2020,04:31,No job these days,Anxious about the future and hoping that things will get better soon!,From the current data it seems like this will be here for a while. Some habits will have to change around the globe in terms of how we do business,"Health, family and job",Lahore,6 months,"Downsizing. Keeping things simple, more online shopping"
195,24-04-2020,05:46,MIT,I'm doing OK,Future is bright,No concerns,Boston,3 months,Travel Safe
196,24-04-2020,06:15,No one has a job anymore,"I'm fucking confused, a little scared, and yet bored and eager to get outside and connect with people and nature.",People are doomed. But I'm happy that the natural world will eventually recover. I wonder what the mega fauna will be in a mliion years?,That tedious AI's will try ti suck my brains.,Columbus,More than a year,Spending more time on trying to destroy the capitalist forces that have brought this doom and destruction upon us.
197,24-04-2020,06:55,Crowd Analyzer,"A bit uncertain, not sure how the world will look like at the end of this.",Positive to a large extent we will get through this,Family safety and financial security,Dubai,More than a year,Not sure to be honest
198,24-04-2020,07:40,American University of Nigeria,Mixed feelings: bad and good. Bad because everybody is made to sit at home and everything is grounded. Good as it affords one opportunity to reset life generally and bond with the children emotionally.,"Mixtures of good, bad and the ugly. Though times don't last, but though guys do. The best in Emotional Intelligence and Spiritual Intelligence will be the future gam changers in all sectors of the economy.",Coping strategies during Ramadan right now,Lagos,Three months at least,To be more visible using technologies
199,24-04-2020,07:46,university,anxious at times,I anticipate years of crisir,economy,Madrid,6 months,none
200,24-04-2020,08:27,own company,a am feely verry good and happy,future will be for rich people,i watch movies i enjoy i have no concerns,Islamabad,More than a year,luxurious life style will be more richy
201,24-04-2020,08:52,Unemployed,Helpless,Bleak,"Job, money",Dubai,1 month,Control my expenses
202,24-04-2020,08:52,Delta brains,Uncomfortable,Tough times are coming,Staying safe and meeting ends,Karachi,More than a year,Balance my time
203,24-04-2020,11:13,Disney,Thoughtful,After all suffering a better socity,Survive,Orlando,More than a year,Travel less and work from home
204,24-04-2020,11:37,Student,Blessed,I believe everything is going to be better but never the same,To die without achevieng all my goals,İstanbul,3 months,Give the value of all the vulnerable blessings in our lives that we never realized
205,24-04-2020,14:40,University-clinic,Blessed to be from the fortunate group,Times are changing..its a start all over again..beshuk woh bara Raheem hai,Everyone follows the guidelines effectively to prevent the consequences from spreading,Karachi,More than a year,Value life..people..and cherish what we have
206,24-04-2020,15:21,"In the health sector, frontline","anxious, uncertain, fearful of what lies ahead, confined",new paradigmatic shift/ a new era,end of COVID-19,Toronto,More than a year,my consumption patterns. I learned that I do not need a lot of things I used before....
207,24-04-2020,15:38,Company,Bad,Medium,Environment,Riyadh,6 months,Social distancing when possible
208,24-04-2020,16:18,İstanbul,So so,What is written in our destiny we will face it,Nothing,İstanbul,1 month,Nothing
209,24-04-2020,16:44,"Used to study in Boston, but now at home","Bored, sad, worried","it'll get better soon, for sure, but the crisis will not be fully solved until an effective vaccine is widely distributed","Worried about people - those who have lost jobs, who are homeless, who are refugees, who are so poor that they cannot protect themselves",Princeton,More than a year,enjoying the outdoors
210,24-04-2020,17:03,private sector,"mixed, worried and optimistic.",lonf,"worried about the economy, poor people.",Bengaluru,6 months,"social distancing, improved personal hygiene."
211,24-04-2020,18:06,Fife,Optimistic if people rethink and think different and outthink our fear,Emerging stronger and more connected,"Returning to work, and getting income to take care of my family",Toronto,3 months,Complete reading at least 1 book every 2 weeks and 2 audio books every week
212,24-04-2020,19:16,At a company,Excited about opportunities.,Optimistic.,When will it be over.,Toronto,3 months,Probably none.
213,24-04-2020,20:05,Independent,"Scary, uncertain",Will take time to recover,"Jobs, health",Mumbai,6 months,need to work harder to sustain
214,24-04-2020,20:29,I run my own business,Stressed,How this'll all pan out and the after effects on the way we live,Keeping safe,Dubai,More than a year,Not take anything for granted
215,24-04-2020,21:43,NewTech Endeavors,anxious,uncertain,financial losses,Clearwater,More than a year,work more remotely
216,24-04-2020,22:02,Non-profit Organization,"I question the future of certain things, however, I'm optimistic that we'll all get through this.",I'm optimistic but I'm taking precautions to secure my future.,"Finances, work life balance and the health of my loved ones.",New York,1 year,Cut spending
217,25-04-2020,03:08,Consulting,Concerned,"Highly controlled environment, low touch, minimum travelling and public entertainment","Business growth, family visits, kids playtime with friends",Pune,More than a year,Working from home
218,25-04-2020,03:22,New York - self-employed as a social impact movement entrepreneur,Concerned yet hopeful about how to build back better,Full of opportunity for those with a growth mindset,Health and well-being of colleagues,New York,More than a year,Refocusing further on my life's work and being choosier about projects in which to engage
219,25-04-2020,04:12,Investment Management,Anxious and sad,World will become more tech driven,That family stay well and healthy,London,1 year,More Working from Home
220,25-04-2020,05:48,Bangalore,Calm yet fatigued,Grim and different,Essentials,Bengaluru,More than a year,Washing hands more than usual
221,25-04-2020,07:33,Office,challenged,opportunities,mother,Porto,More than a year,less travel
222,25-04-2020,07:36,Freelancer,Anxious,I foresee great depression part 2 approaching,When will we be free from Corona,Islamabad,6 months,Be cautious of my health to build immunity
223,25-04-2020,08:32,self employed,angry,better,waste of people's lives,Montreal,3 months,no changes for me
224,25-04-2020,09:18,Jazz Telecom,Worried,Optimistic,Economic situation,Islamabad,6 months,Educating people on hygiene habits
225,25-04-2020,09:33,Skyscale Media,uncertain and worried,it will take a long time to recover and their will be many casualites,health and job security,Dubai,6 months,Exercise much more and have regular check ups
226,25-04-2020,09:46,United Nations,Enlightened,"Jobs, freedom of people, privacy",What happens if shutdowns persist,Aden,More than a year,Stop wasteful consumption and be mindful about of wastage of natural resources
227,25-04-2020,11:27,"at home, for mysel","anxious, but also hopeful for future change in society","we need greater care for our fellow human beings. Greater equality, more emphasis on public health and prevention",my health and health of my friends and family,New York,More than a year,My lifestyle is pretty good I work in public health
228,25-04-2020,12:16,In the twin city Islamabad,Restless,it will be tough both financially and emotionally,normalcy,Rawalpindi,1 year,Hygiene and Slowing the pace
229,25-04-2020,16:11,Telenor bank,Frustrated,"Grim, recession, scared, worried family or loved ones","Job insecurity, distress, lack of routine, and missing seeing friends and social interaction",Islamabad,More than a year,"Stay at home more, avoid people"
230,25-04-2020,16:30,Telenor,Stuck,The future is full of hope and opportunities,Loss of loved ones,Karachi,6 months,Not a lot of change in lifestyle
231,25-04-2020,16:33,Freelance researcher and trainer,insecure,atleast one year recovery time required,when will market resume,Islamabad,6 months,saving and be prepare for worst. bring in digital in my port folio
232,25-04-2020,16:40,telecom,Meh,This too shall pass,Getting back to normal,New York,3 months,be more careful
233,25-04-2020,17:21,Self employed,Concerned,I'm an optimist but i have a nagging worry about the economy,My family getting sick and the economic disaster that is unfolding,Los Angeles,1 year,Nothing
234,25-04-2020,17:59,"I am self employed. Used to run one of the larger FMCG companies, but not anymore",Generally ok....concerned about the deaths of course,This will have its effects for some time to come,Nothing personal..more seeing the pain of those who lose near ones and,Karachi,More than a year,I have been heavily involved in climate change awareness programs. So not much change at all. Already living a simple lifestyle
235,25-04-2020,18:03,Self employed as a global multimedia advocate and founder of Voices of Women Worldwide & VOWW-TV spread across 169+ countries ...,It was somthing that was predictable ... bound to happen sooner or later ... it was not so surprising as one evaluates,Work together in finding solutions to simple and difficult tasks ahead ...,The fear ... for family and friends and the fear of death and dying around us ... especially as media reports are sensationalizing everything that is happening ... be it true or false ...,New York,More than a year,"Promote compassion, kindness and love with everyone I meet ..."
236,25-04-2020,19:12,Work for an Oil Exploration and Production Company,Well to me its pretty different. Cant move freely and see peers around. The routine has been disturbed and it seems like the pace of life has slowed down.,Well I cant predict but its not a biological virus its a conspiracy as I guess its an artificial virus. Its the war of economies.,Things should slowly start getting back to normal.,Islamabad,More than a year,I wont change my life style atleast.
237,25-04-2020,20:15,Work for govt,I feel ok,Near future doesn't seem very positive,Long term job position & financial sustainability,Victoria,More than a year,I'm not sure
238,26-04-2020,03:43,Saudi Arabia,Not trusting of why and what is happening in the world and who to believe in terms of advice. A little fearful and hopeful at the same time.,Optimism and fear,Lack of understanding from everyone including the medical profession and government,Yorkshire,More than a year,To be closer to loved ones and not chase work consantly
239,26-04-2020,04:30,Govt contracts to eliminate poverty and improve employability,Opportunity to thank what I have and take for granted,Optimistic,Safety and health,Philadelphia,More than a year,Hygiene and exercise and medication
240,26-04-2020,04:45,Not working,Anxious,Positive long term,Work,London,More than a year,More mindfulness
241,26-04-2020,05:17,Vice President at Pakistan Policy Institute USA and teaching in universities,Terrible scary,Hope Mother Nature will take it's recourse and over a period of time it will be over,Keep me n my family in isolation,Lahore,6 months,God fearing
242,26-04-2020,05:54,dubai,tired,intrigued,sustainability,Dubai,1 month,better self care
243,26-04-2020,05:57,RIYADH,Energized,Positive,Schooling,Beirut,More than a year,Less travel
244,26-04-2020,06:00,Management Consultancy,scary,Future is orange,economic and health uncertainty,Sharjah,6 months,Use sustainable public transport only. Consume minimal as required.
245,26-04-2020,06:56,LNG terminal,Concerned about future,Will be better in a couple of months,Health and business resumption,Lahore,3 months,Traveling and restaurants will be out for sometime
246,26-04-2020,07:27,Department of Energy,GOOD AND BAD,Transformational change in thoughts and lifestyle,Safety,Abu Dhabi,More than a year,Go back to the old rich Indian traditional lifestyle
247,26-04-2020,07:35,Home,Hopeful,Relaxed,Wellbeing,Karachi,1 month,Walking
248,26-04-2020,07:48,İn Oil and Gas industry,"First shoked, then Upset and deeply affected",Uncertain,How many people will we deplore,Annaba,More than a year,To be more responsible
249,26-04-2020,08:28,Bank in Saudi,Irritated and stressed,Uncertain,Job security and work life balance - working hours have increased,Manama,More than a year,Dunno - enduring work life balance
250,26-04-2020,08:32,Gulf International Bank,I am a bit concerned,I believe this will have long lasting impact on the economy and will change the social behavior to great extent,"Health, job security, recession, worried about family and friends",Riyadh,6 months,Will limit physical connection and rely more on e-commerce
251,26-04-2020,09:09,.,.,.,.,Karachi,6 months,.
252,26-04-2020,11:09,Sydney,Good,ok,how long will this last?,Sydney,More than a year,work from home
253,26-04-2020,12:35,From home,frustrated that I cannot do moe to help,Hopeful that this will make politicians understand that we need to work together not against each other,I am currently stranded a long way from home,Kingston,More than a year,Do better at keeping in touch with family and friends
254,26-04-2020,14:28,Research company,Worried concerned about future,It will take some time but everything will be back to normal,"Business sustainability, schooling of my kids, financial pressure",Lahore,More than a year,Nothing I guess may be I will save more
255,26-04-2020,14:31,In a pharmaceutical,There is always an opportunity,We will learn some good lessons for the future,Safety of my family and my team and comapny,Karachi,More than a year,Should go to basics
256,26-04-2020,14:36,Ngo,Ok,Am not thinking of the future,Becoming fat,Beirut,3 months,My daily yoga routine
257,26-04-2020,14:47,Suburban Philadelphia,"Uncertainty, confusion, humility","I hope that we all learn from this disaster, that we are all in this together",Death,Philadelphia,More than a year,Minimal dependence on material. And increased spiritually
258,26-04-2020,14:52,International Donor agency,By now frustrating,Still hopeful this time will be over,Missing my office work routine,Islamabad,3 months,Take more time for myself & family
259,26-04-2020,15:46,HR Consultant self employed,Mixed feelings,Challenging times ahead,Uncertainty,Karachi,6 months,Follow moderation
260,26-04-2020,16:00,Intelligent qatar- a boutique research agency,I'm kind of over it now,I am desperately hoping everything will go back to normal? I don't know how likely this is but I am hoping,Losing my job!,Doha,3 months,I don't know the answer to that. I feel a bit despondent about it all.
261,26-04-2020,16:29,In the development sector,"Slightly depressing, frustrating yet getting to spend quality time with family at home.",Bleak. Very bleak. The world as we used to know will cease to exist.,Workwise it's hard to manage plus the fear of the unknown,Islamabad,More than a year,Guess will start cherishing the smaller things in life and overcome our obsession of materialistic capitalistic things
262,26-04-2020,16:47,Algiers,Uncertain,It will be hard to earn your money,Economy,Algiers,6 months,"Pay my credits, be closer to my family"
263,26-04-2020,16:56,London,On one hand I am enjoying time with family but on the other hand concerned about how and when the current Covid19 crises will end,That people will value what they have and be more thankful after the crises ends.,Family Health and uncertainty about the future,Chesham,1 year,Work and family life balance.
264,26-04-2020,17:03,Private research company,Depressed & worried,Highly likely that financial security will be compromised for extended period,Job security,Karachi,More than a year,Curtail expenses across the board
265,26-04-2020,17:34,In a company,"I feel a bit unsettles at the moment, why do you think that is?",You don't respond at all,that is not an answer to my question,Amsterdam,More than a year,Less travel
266,26-04-2020,17:47,Dubai,Sad but patience,Hopefull,"People's lives, Economy",Dubai,3 months,Habits
267,26-04-2020,18:04,Budapest,Lazy,No positivity but maybe better immunity,No idea how long this goes on,Karachi,3 months,Home food
268,26-04-2020,18:16,"Nielsen, Marketing research",life is not Normal,My view is things would get normal but it will take time,"Managing family, home and office , why I mention home because maids are not allow to enter our society.",Lahore,6 months,giving more time to children
269,26-04-2020,19:37,I'm a student,I'm fine. Hope it sends soon though,I hope that things will start normalizing by September,That we wont be able to find a cure and there will be sickness and deaths,Nice,3 months,More focus on health
270,26-04-2020,22:10,Private organisation,Anxious,Generally positive still,Health and financial security,Auckland,6 months,More cautious of large gatherings. Eating less takeaways !!
271,26-04-2020,23:27,Cultural Center,"I feel active , inspired and having the motivation to move forward","Global peace, justice and solidarity",How to take the advantage of staying home during coronavirus?,Gaza,6 months,keep working and won't give up
272,26-04-2020,23:58,Somewhere,Different,Optimism,Environment,Dubai,6 months,Exercise
273,27-04-2020,00:02,A company,Frustrated,Things will get better but not fast enough,The economy,San Francisco,More than a year,Save more money
274,27-04-2020,00:18,Freelance,Happy,Bright,Nothing,Samail,1 month,Live every moment happy
275,27-04-2020,02:27,Odessa College,Concerned,Mixed. I am worried?,Will the economy collapse?,Midland,3 months,I will save more and spend less.
276,27-04-2020,03:27,CEO of Grey Owl Consulting,Concerned but taking comfort in that we are doing the best we can,"Short term - a lot of pain to come, medium term - opportunities to be realised, Long term - should be good","Health of loved ones, duration of the pandemic and impact on economy and my net worth",Singapore,6 months,Not take health for granted. Faster response on investment switching ( turn conservative when necessary)
277,27-04-2020,05:07,News Channel,"Depressed, failed and stressed","Bleak, dead end, nothing is making scene",My work place and current situation cause of corona,Karachi,1 year,Will definitely try to find some other work to do
278,27-04-2020,06:59,Research,"I am OK, working a bit harder than normal.","a new world, way of working, way of living",Not much. Delivering my work in time despite challenges,Dubai,More than a year,work more from home
279,27-04-2020,08:37,nielsen,relaxed,nothing special - waiting to see,self motivation,Amsterdam,More than a year,nothing
280,27-04-2020,09:39,why?,exhausted,that it will venetually be ok,mental health,London,1 year,nothing really
281,27-04-2020,11:57,A Telecom Company,Frustrated,Uncertain,Whether this will get better,Rawalpindi,6 months,Give more time to family
282,27-04-2020,12:23,Nielsen,Anxious,Will revive quickly,"Job security,finances",Dubai,6 months,"Will use more sustainable products,stay at home more"
283,27-04-2020,12:57,EY,Anxious about well being of people but glad to be spending more time with,Hope,Health and economic situation,Manama,3 months,Increased family time
284,27-04-2020,15:44,Private equity firm,Enthusiastic,"short term will be a challegence, but mid and long terms should provide opportunities",covid recovery,Fairfield,6 months,Being more cautious about exposure to germs through common surfaces.
285,27-04-2020,17:00,Karachi,Uncertain,I am optimistic about future,The world will never be the same again. Economic growth will be worst affected. But the situation offers an opportunity to bring some good and positive changes.,Karachi,More than a year,Exercise. Healthy eating. More reading.
286,27-04-2020,17:51,RB,Concerned,Things will take time to settle down but will definitely get better,Safety for family and job security,Dubai,6 months,Lesser eating out
287,28-04-2020,05:39,nielsen,a bit anxious,it looks grim,"job security, managing the home, traveling",Karachi,More than a year,cook my own food
288,28-04-2020,08:04,I do t,Curious,Uncertain,Rebuilding my life,Paris,More than a year,None
289,28-04-2020,17:34,Jakarta,Somewhat worry,Will get better somehow,Health,Jakarta,6 months,More health-conscious
290,28-04-2020,19:28,The Conference Board,The uncertainty of the economy is tough.,optimistic but cautious,the economy,Atlanta,1 year,avoid physical personal contact (i.e. hugs & handshakes) with most people/strangers
291,28-04-2020,20:39,A boutique technology consulting company,Apprehensive that we are not following scientific guidelines and risking peoples' lives as a result.,"Mediocre. I fear for us if we don't have better leadership in this country. Hopeful, that at its base, humanity is basically good.",That someone I care about will die from this virus; that our economy is in a fragile state; that too many people are not taking the virus seriously enough.,Atlanta,More than a year,I think I'll be more conscientious about spending- both money and time.
292,29-04-2020,00:59,In a dr office,Anxious,It has to end and things will be same as before,When will this end,Philadelphia,3 months,Spend more time about eating healthy meals at home
293,29-04-2020,13:55,Research,Apprehensive.,Optimistic but cautious,"Finances, economy, career.",Cincinnati,1 year,Be more proactive
294,29-04-2020,22:55,Financial Seevjses,There is a bit of struggle,Positive about coming out of it,Till when will this continue,New York,6 months,Cut down on expenses
295,30-04-2020,00:26,Power Company,Confident of a new beginning,"Renewal, revival and new normal",New learnings and making most of what i have,Dubai,3 months,"Work from home, start a side gig"
296,30-04-2020,06:37,consultant,worried and sad,optimistic,suffering from virus and economic crises,Peshawar,3 months,cleaniness
297,30-04-2020,06:56,in Dubai,"anxious, irritated, insecure, afraid, depressed, worried...",unclear,infection & financials,Dubai,3 months,more exercise
298,30-04-2020,14:10,Own company,Mixed feelings,new dynamics of living will form and I am excited about it,missing out opportunities,Bahrain,More than a year,"The number 1 thing, is keeping more healthy and fit."
299,30-04-2020,19:46,at a data company\,Energized and anxious at the same time,Cautiosly optmistic,Losing my job,Evanston,More than a year,"Travel less, sadly"
300,30-04-2020,21:05,I don't,Worried about the state of the world and how people are pitting against eachother,We are going to learn nothing,"How money is the be end goal of some, how people are pitted against eachother, how dishonest people are about their motives",Eindhoven,More than a year,Appreciate more that life is short
301,01-05-2020,00:07,Telco,unsure,Difficult to predict,Instability,Islamabad,More than a year,Spending more time with family
